product_name,product_platform,product_sale_price,retailer,rrp,week
Mortal Kombat 11: Standard Edition,XONE,46.9,amazon,69.99,1
Mortal Kombat 11: Premium Edition,XONE,79.99,amazon,99.99,1
Mortal Kombat 11: Kollector Edition,XONE,299.99,amazon,299.99,1
Mortal Kombat 11: Standard Edition,PS4,46.9,amazon,69.99,1
Mortal Kombat 11: Premium Edition,PS4,99.99,amazon,99.99,1
Mortal Kombat 11: Kollector Edition,PS4,299.99,amazon,299.99,1
Mortal Kombat 11: Standard Edition,Switch,52.9,amazon,69.99,1
Mortal Kombat 11: Kollector Edition,PC,289.99,amazon,299.99,1
Mortal Kombat 11: Standard Edition,PS4,64.99,auchan,69.99,1
Mortal Kombat 11: Premium Edition,PS4,99.99,auchan,99.99,1
Mortal Kombat 11: Kollector Edition,PS4,299.99,auchan,299.99,1
Mortal Kombat 11: Standard Edition,XONE,64.99,auchan,69.99,1
Mortal Kombat 11: Premium Edition,XONE,99.99,auchan,99.99,1
Mortal Kombat 11: Kollector Edition,XONE,299.99,auchan,299.99,1
Mortal Kombat 11: Standard Edition,Switch,59.99,auchan,69.99,1
Mortal Kombat 11: Standard Edition,PS4,69.95,carrefour,69.99,1
Mortal Kombat 11: Standard Edition,XONE,69.95,carrefour,69.99,1
Mortal Kombat 11: Standard Edition,Switch,49.95,carrefour,69.99,1
Mortal Kombat 11: Standard Edition,PS4,46.9,galec,69.99,1
Mortal Kombat 11: Premium Edition,PS4,79.99,galec,99.99,1
Mortal Kombat 11: Kollector Edition,PS4,299.99,galec,299.99,1
Mortal Kombat 11: Standard Edition,XONE,46.9,galec,69.99,1
Mortal Kombat 11: Premium Edition,XONE,79.99,galec,99.99,1
Mortal Kombat 11: Kollector Edition,XONE,299.99,galec,299.99,1
Mortal Kombat 11: Standard Edition,Switch,49.99,galec,69.99,1
Mortal Kombat 11: Kollector Edition,PC,288.05,galec,299.99,1
Mortal Kombat 11: Standard Edition,PS4,69.99,micromania,69.99,1
Mortal Kombat 11: Premium Edition,PS4,99.99,micromania,99.99,1
Mortal Kombat 11: Kollector Edition,PS4,299.99,micromania,299.99,1
Mortal Kombat 11: Standard Edition,XONE,69.99,micromania,69.99,1
Mortal Kombat 11: Premium Edition,XONE,99.99,micromania,99.99,1
Mortal Kombat 11: Kollector Edition,XONE,299.99,micromania,299.99,1
Mortal Kombat 11: Standard Edition,Switch,69.99,micromania,69.99,1
Mortal Kombat 11: Standard Edition,PS4,49.99,fnac,69.99,1
Mortal Kombat 11: Premium Edition,PS4,112.99,fnac,99.99,1
Mortal Kombat 11: Kollector Edition,PS4,279.99,fnac,299.99,1
Mortal Kombat 11: Standard Edition,XONE,49.99,fnac,69.99,1
Mortal Kombat 11: Premium Edition,XONE,114.99,fnac,99.99,1
Mortal Kombat 11: Kollector Edition,XONE,279.99,fnac,299.99,1
Mortal Kombat 11: Standard Edition,Switch,49.99,fnac,69.99,1
Mortal Kombat 11: Kollector Edition,PC,279.99,fnac,299.99,1
